Process Name	Seconds(ms)	CPU(%)	Memory(MB)
GeneticCars	539000	1.766082	296.13
GeneticCars	540000	0.7568539	296.13
GeneticCars	541000	1.389641	296.13
GeneticCars	542000	2.261683	296.13
GeneticCars	543000	0.630397	296.13
GeneticCars	544000	2.1494	296.13
GeneticCars	545000	2.401047	296.09
GeneticCars	546000	1.896014	296.09
GeneticCars	547000	1.136925	296.09
GeneticCars	548000	1.643792	295.94
GeneticCars	549000	0.7583242	295.94
GeneticCars	550000	0.505725	295.94
GeneticCars	551000	0.6305704	295.94
GeneticCars	552000	0.5038729	295.94
GeneticCars	553000	2.019668	296.09
GeneticCars	554000	6.55238	296.09
GeneticCars	555000	0.7579255	296.09
GeneticCars	556000	1.388427	296.09
GeneticCars	557000	0.7583243	296.09
GeneticCars	558000	1.390859	296.09
GeneticCars	559000	0.6313246	296.09
GeneticCars	560000	0.7561219	296.09
GeneticCars	561000	2.516689	296.09
GeneticCars	562000	1.013067	296.09
GeneticCars	563000	1.263875	296.09
GeneticCars	564000	2.024164	296.09
GeneticCars	565000	1.643129	296.09
GeneticCars	566000	0.6306884	296.09
GeneticCars	567000	0.6301734	296.09
GeneticCars	568000	1.64247	296.09
GeneticCars	569000	0.5045686	296.09
GeneticCars	570000	1.010876	296.09
GeneticCars	571000	0.6319206	296.09
GeneticCars	572000	0.379531	296.09
GeneticCars	573000	0.6323943	296.09
GeneticCars	574000	2.020237	296.09
GeneticCars	575000	0	296.09
GeneticCars	576000	2.023094	296.09
GeneticCars	577000	0.3792332	296.09
GeneticCars	578000	1.391607	296.09
GeneticCars	579000	0.125999	296.09
GeneticCars	580000	1.136087	296.09
GeneticCars	581000	3.153101	296.09
GeneticCars	582000	0.2528979	296.09
GeneticCars	583000	1.387616	296.09
GeneticCars	584000	1.009157	296.09
GeneticCars	585000	1.138048	296.09
GeneticCars	586000	2.403694	296.09
GeneticCars	587000	0.8851333	296.09
GeneticCars	588000	0.7579127	296.09
GeneticCars	589000	0.3787947	296.09
GeneticCars	590000	1.895879	296.09
GeneticCars	591000	0.6315913	296.09
GeneticCars	592000	1.008353	296.09
GeneticCars	593000	1.00756	296.09
GeneticCars	594000	1.008708	296.09
GeneticCars	595000	1.009766	296.09
GeneticCars	596000	0.7585831	296.09
GeneticCars	597000	0.5056776	296.09
GeneticCars	598000	1.643552	296.09
GeneticCars	599000	0.6296068	296.09
GeneticCars	600000	0.7586725	296.09
GeneticCars	601000	1.010081	296.09
GeneticCars	602000	0.8851829	296.09
GeneticCars	603000	0.6305413	296.09
GeneticCars	604000	0.3793722	296.09
GeneticCars	605000	0	296.09
GeneticCars	606000	1.138522	296.09
GeneticCars	607000	0.3782697	296.09
GeneticCars	608000	1.389341	296.09
GeneticCars	609000	0.7578995	296.09
GeneticCars	610000	2.651562	296.09
GeneticCars	611000	0.1261229	296.09
GeneticCars	612000	1.767795	296.09
GeneticCars	613000	1.768474	296.09
GeneticCars	614000	0.7590606	296.09
GeneticCars	615000	1.01116	296.09
GeneticCars	616000	2.276657	296.09
GeneticCars	617000	0.6313249	296.09
GeneticCars	618000	1.641443	296.09
GeneticCars	619000	1.388911	296.09
GeneticCars	620000	0.7583244	296.09
